record_type,product_id,brand,name,code,product_quantity,street_price,suggested_price,price_novat,plain_description,weight,picture 1,picture 2,picture 3,madein,Firme,heel,lenght,mainmaterial,Categorie,Produzione,Sottocategorie,Promo,Discount Percentage,season,color,Warehouse2,bicolors,Genere,productname,model_id,barcode,model_size,model_quantity
PRODUCT,102616,Adidas,StanSmith,M20327_StanSmith,194,94.95,85.00,55.00,,1.80,https://www.brandsdistribution.com/prod/stock_product_image_102616_1634698105.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102616_1048836334.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102616_67919089.jpg,India,Adidas," "," "," ",shoes," ",Sneakers," "," ",all-year,black," ",black,unisex," "," "," "," "," "
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293387,4054067760847,UK 3.5,10
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",294003,4054067760861,UK 4.5,9
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293388,4054067760878,UK 5.0,14
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293389,4054067760885,UK 5.5,15
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293390,4054067760892,UK 6.0,24
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293391,4054067760908,UK 6.5,25
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293392,4054067760922,UK 7.5,13
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293393,4054067760939,UK 8.0,12
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293394,4054067760946,UK 8.5,14
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293395,4054067760953,UK 9.0,24
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293396,4054067760960,UK 9.5,15
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293397,4054067760984,UK 10.5,9
MODEL,102616," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293398,4054067760991,UK 11.0,10
PRODUCT,102615,Adidas,Superstar,EE7399_Superstar,109,99.95,89.00,55.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_102615_1152296270.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102615_1695967984.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102615_2100516520.jpg,Indonesia,Adidas," "," "," ",shoes," ",Sneakers," "," ",all-year,white," ","white,tan",unisex," "," "," "," "," "
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293380,4061615679674,UK 3.5,8
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293381,4061615679643,UK 4.5,8
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293382,4061615679612,UK 5.0,18
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293383,4061615679711,UK 5.5,18
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293384,4061615679698,UK 6.0,29
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293385,4061615679605,UK 6.5,19
MODEL,102615," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293386,4061615679650,UK 7.5,9
PRODUCT,102614,Adidas,StanSmith,EE5818_StanSmith,353,94.95,85.00,55.00,,1.80,https://www.brandsdistribution.com/prod/stock_product_image_102614_907416848.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102614_1995791139.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102614_2092899993.jpg,Vietnam,Adidas," "," "," ",shoes," ",Sneakers," "," ",all-year,white," ","white,black",unisex," "," "," "," "," "
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293367,4061616465078,UK 3.5,14
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293368,4061616465467,UK 4.5,12
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293369,4061616465443,UK 5.0,27
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293370,4061616465115,UK 5.5,27
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293371,4061616465092,UK 6.0,43
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293372,4061616465511,UK 6.5,43
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293373,4061616465436,UK 7.5,28
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293374,4061616465139,UK 8.0,27
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293375,4061616465085,UK 8.5,28
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293376,4061616465054,UK 9.0,45
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293377,4061616465504,UK 9.5,30
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293378,4061616465122,UK 10.5,14
MODEL,102614," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293379,4061616465061,UK 11.0,15
PRODUCT,102613,Adidas,YUNG-1,EE5318_YUNG-1,56,119.95,108.00,69.00,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_102613_1849025350.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102613_1331222964.jpg,https://www.brandsdistribution.com/prod/stock_product_image_102613_562691373.jpg,Vietnam,Adidas," "," "," ",shoes," ",Sneakers," "," ",all-year,grey," ","darkgray,blue",men," "," "," "," "," "
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293359,4061616301222,UK 6.5,4
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293360,4061616305374,UK 7.5,5
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293361,4061616305343,UK 8.0,9
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293362,4061616305367,UK 8.5,5
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293363,4061616305466,UK 9.0,14
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293364,4061616305404,UK 9.5,9
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293365,4061616301208,UK 10.5,5
MODEL,102613," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",293366,4061616301154,UK 11.0,5
